iter	Accuracy	Logloss
0	0.6984455959	0.6869263372
1	0.7222797927	0.6807853447
2	0.7191709845	0.6738928412
3	0.7129533679	0.6686708711
4	0.7088082902	0.663362401
5	0.7046632124	0.6585411212
6	0.6994818653	0.6537160819
7	0.6984455959	0.6491550081
8	0.6953367876	0.6443478001
9	0.6943005181	0.6399369022
10	0.6974093264	0.63467643
11	0.6994818653	0.6307656259
12	0.6974093264	0.6270114674
13	0.6984455959	0.6223614385
14	0.7005181347	0.6197206403
15	0.6984455959	0.6157547468
16	0.696373057	0.6123646605
17	0.6974093264	0.6092268819
18	0.6994818653	0.6057009608
19	0.6994818653	0.6024098568
20	0.7005181347	0.5994403552
21	0.6974093264	0.5957131822
22	0.696373057	0.5929698689
23	0.6974093264	0.5904715554
24	0.6974093264	0.5877366443
25	0.696373057	0.5850972024
26	0.6984455959	0.582070888
27	0.6984455959	0.5798441432
28	0.7015544041	0.5768265447
29	0.6984455959	0.5741356596
30	0.6984455959	0.5715881695
31	0.6984455959	0.5691244251
32	0.7015544041	0.5673551424
33	0.7015544041	0.5647510944
34	0.703626943	0.56344515
35	0.703626943	0.5618332285
36	0.703626943	0.5600431041
37	0.7067357513	0.5579021697
38	0.710880829	0.5552901922
39	0.710880829	0.5530857634
40	0.710880829	0.5513646334
41	0.7119170984	0.5490940352
42	0.7129533679	0.5473856936
43	0.7129533679	0.5456427172
44	0.7129533679	0.5432412044
45	0.7170984456	0.5409817889
46	0.7139896373	0.5390684312
47	0.7160621762	0.5366000903
48	0.7202072539	0.5343889255
49	0.718134715	0.5319799355
50	0.7202072539	0.5301857099
51	0.7212435233	0.5285313678
52	0.7212435233	0.5265263061
53	0.7212435233	0.5250808866
54	0.725388601	0.5228792352
55	0.7264248705	0.5214126775
56	0.7264248705	0.5200886654
57	0.7284974093	0.5187804427
58	0.7284974093	0.5172154115
59	0.7284974093	0.5152849863
60	0.7295336788	0.5134765903
61	0.7305699482	0.5126249204
62	0.7316062176	0.5111952807
63	0.732642487	0.5094103322
64	0.7347150259	0.5077441654
65	0.732642487	0.5057603769
66	0.7336787565	0.5046210386
67	0.7347150259	0.5028702946
68	0.7357512953	0.5015252967
69	0.7378238342	0.5002021516
70	0.7409326425	0.4987221202
71	0.7430051813	0.4967526558
72	0.7450777202	0.4947302582
73	0.7440414508	0.4932864311
74	0.7440414508	0.4916867935
75	0.7461139896	0.4893712862
76	0.7471502591	0.4885829817
77	0.7471502591	0.4873518598
78	0.7471502591	0.4853640769
79	0.7512953368	0.4829636489
80	0.7512953368	0.4816708125
81	0.7554404145	0.4802569253
82	0.7564766839	0.4790523442
83	0.7575129534	0.4770200595
84	0.7575129534	0.4754912333
85	0.7585492228	0.4746695644
86	0.7595854922	0.4734932948
87	0.7606217617	0.4722860799
88	0.7616580311	0.4701366571
89	0.7616580311	0.4693453945
90	0.7637305699	0.4675457349
91	0.7637305699	0.4664926111
92	0.7637305699	0.4655050647
93	0.7668393782	0.4638684735
94	0.7658031088	0.4625179631
95	0.7658031088	0.4616112526
96	0.7658031088	0.4603779476
97	0.7668393782	0.459106431
98	0.7668393782	0.4576032242
99	0.7678756477	0.4567610689
100	0.7668393782	0.455720369
101	0.7699481865	0.4545605723
102	0.770984456	0.4529951948
