iter	Passed	Remaining
0	168	167987
1	185	92574
2	205	68246
3	221	55247
4	238	47440
5	254	42187
6	272	38618
7	294	36521
8	309	34030
9	329	32655
10	347	31276
11	365	30124
12	430	32653
13	475	33485
14	508	33374
15	535	32944
16	564	32664
17	640	34929
18	707	36505
19	783	38370
20	855	39878
21	928	41264
22	999	42463
23	1040	42307
24	1074	41899
25	1224	45859
26	1344	48436
27	1442	50072
28	1499	50205
29	1534	49619
30	1555	48632
31	1587	48033
32	1659	48639
33	1746	49622
34	1798	49600
35	1846	49438
36	1869	48664
37	1894	47957
38	1914	47182
39	1933	46394
40	1949	45603
41	1968	44908
42	1984	44170
43	2002	43498
44	2019	42852
45	2038	42267
46	2055	41687
47	2083	41327
48	2104	40835
49	2133	40528
50	2170	40383
51	2202	40144
52	2237	39985
53	2253	39485
54	2272	39040
55	2304	38839
56	2325	38473
57	2343	38055
58	2360	37640
59	2377	37250
60	2396	36888
61	2414	36532
62	2440	36301
63	2463	36023
64	2484	35733
65	2501	35394
66	2516	35046
67	2533	34717
68	2555	34478
69	2586	34366
70	2607	34123
71	2628	33874
72	2653	33695
73	2668	33396
74	2682	33085
75	2699	32820
76	2715	32554
77	2730	32276
78	2751	32078
79	2776	31931
80	2807	31854
81	2856	31981
82	2900	32044
83	2926	31911
84	2954	31807
85	2976	31638
86	3001	31500
87	3023	31337
88	3039	31111
89	3072	31061
90	3090	30868
91	3107	30674
92	3125	30479
93	3148	30347
94	3168	30180
95	3191	30048
96	3222	29996
97	3260	30012
98	3288	29925
99	3319	29878
100	3339	29726
101	3356	29551
102	3376	29405
