date,feature_index,NO2
2021-12-17T00:00:00.000Z,0,
2021-12-22T00:00:00.000Z,0,
2021-12-21T00:00:00.000Z,0,
2021-12-19T00:00:00.000Z,0,
2021-12-16T00:00:00.000Z,0,
2021-12-20T00:00:00.000Z,0,
2021-12-15T00:00:00.000Z,0,
2021-12-18T00:00:00.000Z,0,1.1363019211785286E-5
2022-04-08T00:00:00.000Z,0,1.544589182837323E-5
2022-04-07T00:00:00.000Z,0,2.4440791245676035E-5
2022-04-06T00:00:00.000Z,0,
2022-04-10T00:00:00.000Z,0,1.2572156416960448E-5
2022-04-12T00:00:00.000Z,0,2.4665041564730927E-5
2022-04-11T00:00:00.000Z,0,2.084000533386643E-5
2022-04-13T00:00:00.000Z,0,1.973436201296863E-5
2022-04-09T00:00:00.000Z,0,1.2715555385511834E-5
2023-02-28T00:00:00.000Z,0,2.5357955109939212E-5
2023-03-05T00:00:00.000Z,0,
2023-03-04T00:00:00.000Z,0,
2023-03-06T00:00:00.000Z,0,2.788262695503363E-5
2023-03-01T00:00:00.000Z,0,2.6507258553465363E-5
2023-03-07T00:00:00.000Z,0,2.7582288021221756E-5
2023-03-03T00:00:00.000Z,0,
2023-03-02T00:00:00.000Z,0,
2022-05-12T00:00:00.000Z,0,2.3867831335640705E-5
2022-05-10T00:00:00.000Z,0,
2022-05-09T00:00:00.000Z,0,
2022-05-08T00:00:00.000Z,0,
2022-05-15T00:00:00.000Z,0,8.533670059781192E-6
2022-05-14T00:00:00.000Z,0,1.132624663569004E-5
2022-05-11T00:00:00.000Z,0,
2022-05-13T00:00:00.000Z,0,2.9411523125115007E-5
2022-08-01T00:00:00.000Z,0,3.1056877560331486E-5
2022-08-02T00:00:00.000Z,0,3.435652470216155E-5
2022-07-28T00:00:00.000Z,0,3.3497698950668564E-5
2022-07-29T00:00:00.000Z,0,4.399128617175544E-5
2022-07-30T00:00:00.000Z,0,2.1010163209211896E-5
2022-07-27T00:00:00.000Z,0,2.5043163683828123E-5
2022-08-03T00:00:00.000Z,0,4.1333460103487596E-5
2022-07-31T00:00:00.000Z,0,2.2734157785938198E-5
2022-12-25T00:00:00.000Z,0,
2022-12-19T00:00:00.000Z,0,3.3360053142435696E-5
2022-12-22T00:00:00.000Z,0,
2022-12-20T00:00:00.000Z,0,2.2977528715273365E-5
2022-12-18T00:00:00.000Z,0,1.721859977502997E-5
2022-12-24T00:00:00.000Z,0,
2022-12-23T00:00:00.000Z,0,
2022-12-21T00:00:00.000Z,0,2.0042644185499132E-5
2023-06-19T00:00:00.000Z,0,3.932604219395822E-5
2023-06-14T00:00:00.000Z,0,3.770196174931092E-5
2023-06-18T00:00:00.000Z,0,1.7618074771519332E-5
2023-06-17T00:00:00.000Z,0,6.0197286074981093E-5
2023-06-16T00:00:00.000Z,0,2.350608315282443E-5
2023-06-15T00:00:00.000Z,0,2.6447266767111916E-5
2023-06-13T00:00:00.000Z,0,4.4167123026757814E-5
2023-06-12T00:00:00.000Z,0,4.439762196852826E-5
2021-02-19T00:00:00.000Z,0,
2021-02-15T00:00:00.000Z,0,3.355361089537231E-5
2021-02-17T00:00:00.000Z,0,1.5008436548669124E-5
2021-02-21T00:00:00.000Z,0,1.3478842629410791E-5
2021-02-14T00:00:00.000Z,0,
2021-02-20T00:00:00.000Z,0,
2021-02-16T00:00:00.000Z,0,
2021-02-18T00:00:00.000Z,0,
2021-04-11T00:00:00.000Z,0,2.5501404403864097E-5
